time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.65
139.55,6.732124778,0.538416797,6.732124778,0.538416797,0.967417579,0.947501713,0.505200184,0.494799816,0.860980478,-0.667406184,0.656760239
139.6333333,6.654860437,0.537045318,6.654860437,0.537045318,0.956314564,0.945088195,0.502952128,0.497047872,0.862575999,-0.663158893,0.653837767
139.7166667,6.685211964,0.537735077,6.685211964,0.537735077,0.960676129,0.946302028,0.503768816,0.496231184,0.861949235,-0.665294987,0.654899461
139.8,6.703253206,0.53848008,6.703253206,0.53848008,0.963268686,0.947613078,0.504096435,0.495903565,0.86157668,-0.667602164,0.655325366
139.8833333,6.667921268,0.540414882,6.667921268,0.540414882,0.958191427,0.951017928,0.501878657,0.498121343,0.862306291,-0.673593991,0.652442254
139.9833333,6.735813951,0.535622156,6.735813951,0.535622156,0.967947719,0.942583726,0.506637942,0.493362058,0.860904296,-0.658751549,0.658629324
140.05,6.734748261,0.537707084,6.734748261,0.537707084,0.967794578,0.946252767,0.505627293,0.494372707,0.860926302,-0.665208298,0.657315481
140.1333333,6.677441545,0.541748354,6.677441545,0.541748354,0.959559507,0.953364561,0.501619235,0.498380765,0.862109696,-0.677723579,0.652105005
140.2166667,6.691047705,0.536192582,6.691047705,0.536192582,0.961514735,0.943587558,0.504705043,0.495294957,0.861828726,-0.660518084,0.656116556
140.3,6.658843119,0.540446392,6.658843119,0.540446392,0.956886882,0.951073379,0.501523486,0.498476514,0.862493756,-0.673691574,0.651980532
140.4,6.710588896,0.542113222,6.710588896,0.542113222,0.964322836,0.954006653,0.502688845,0.497311155,0.861425197,-0.678853528,0.653495499
140.4666667,6.695458991,0.53452511,6.695458991,0.53452511,0.962148644,0.940653154,0.505648379,0.494351621,0.861737632,-0.655354142,0.657342892
140.55,6.695293308,0.540419946,6.695293308,0.540419946,0.962124835,0.951026839,0.502900448,0.497099552,0.861741054,-0.673609674,0.653770583
140.6333333,6.655962246,0.543083264,6.655962246,0.543083264,0.956472896,0.955713727,0.500198508,0.499801492,0.862553247,-0.681857623,0.65025806
140.7166667,6.646144705,0.535372791,6.646144705,0.535372791,0.955062099,0.942144896,0.503404268,0.496595732,0.862755981,-0.657979299,0.654425549
140.8,6.690621699,0.545707788,6.690621699,0.545707788,0.961453517,0.960332343,0.500291701,0.499708299,0.861837523,-0.689985427,0.650379211
140.9,6.678831205,0.538714287,6.678831205,0.538714287,0.959759203,0.948025235,0.503075287,0.496924713,0.862080999,-0.668327474,0.653997873
140.9666667,6.62893992,0.538931805,6.62893992,0.538931805,0.952589742,0.94840802,0.501099876,0.498900124,0.863111262,-0.669001096,0.651429838
141.05,6.722444715,0.539442168,6.722444715,0.539442168,0.966026537,0.949306153,0.504364877,0.495635123,0.861180373,-0.670581623,0.655674341
141.1333333,6.693789378,0.538002875,6.693789378,0.538002875,0.961908718,0.946773297,0.503964888,0.496035112,0.86177211,-0.666124323,0.655154354
141.2166667,6.685702137,0.540999306,6.685702137,0.540999306,0.960746568,0.952046393,0.502274207,0.497725793,0.861939113,-0.675403877,0.652956469
141.3,6.732452832,0.539478656,6.732452832,0.539478656,0.967464721,0.949370366,0.504719852,0.495280148,0.860973703,-0.670694625,0.656135807
141.3833333,6.662012979,0.541491495,6.662012979,0.541491495,0.957342396,0.952912543,0.501159493,0.498840507,0.862428298,-0.67692812,0.651507341
141.4666667,6.718312395,0.538087001,6.718312395,0.538087001,0.965432716,0.946921341,0.504839945,0.495160055,0.861265706,-0.666384849,0.656291928
141.55,6.732723063,0.539500207,6.732723063,0.539500207,0.967503553,0.949408291,0.504719899,0.495280101,0.860968123,-0.670761365,0.656135869
141.6333333,6.662739948,0.539082591,6.662739948,0.539082591,0.957446863,0.948673373,0.5023014,0.4976986,0.862413286,-0.669468062,0.65299182
141.7333333,6.725741056,0.537121749,6.725741056,0.537121749,0.966500227,0.945222699,0.505565014,0.494434986,0.861112303,-0.663395592,0.657234518
141.8,6.689337496,0.537859635,6.689337496,0.537859635,0.961268975,0.946521225,0.503865139,0.496134861,0.861864042,-0.665680728,0.655024681
141.8833333,6.694849834,0.540342976,6.694849834,0.540342976,0.962061107,0.950891388,0.502919497,0.497080503,0.861750211,-0.673371308,0.653795346
