time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,
14.63333333,5.07129016,0.649663328,5.07129016,0.649663328,1.004613303,1.000441612,0.501040293,0.498959707,0.800987943,-0.540618619,
14.71666667,5.175386535,0.650588031,5.175386535,0.650588031,1.025234604,1.001865597,0.505764147,0.494235853,0.796902901,-0.542811468,
14.8,5.138303885,0.651901154,5.138303885,0.651901154,1.017888599,1.003887727,0.503462517,0.496537483,0.798358131,-0.545925424,
14.88333333,5.118067123,0.650335428,5.118067123,0.650335428,1.013879733,1.001476605,0.503077155,0.496922845,0.79915228,-0.542212445,
14.96666667,5.105660051,0.653653279,5.105660051,0.653653279,1.011421915,1.006585891,0.501198217,0.498801783,0.799639169,-0.550080431,
15.05,5.139274742,0.652325388,5.139274742,0.652325388,1.018080924,1.00454102,0.503347117,0.496652883,0.798320032,-0.546931456,
15.13333333,5.123226831,0.649229468,5.123226831,0.649229468,1.014901862,0.999773495,0.503754542,0.496245458,0.798949798,-0.539589759,
15.21666667,5.146407001,0.649814512,5.146407001,0.649814512,1.019493811,1.000674426,0.504657876,0.495342124,0.798040141,-0.540977137,
15.3,5.138728947,0.651611299,5.138728947,0.651611299,1.017972803,1.003441368,0.503594373,0.496405627,0.79834145,-0.545238059,
15.38333333,5.075861638,0.649667663,5.075861638,0.649667663,1.005518904,1.000448288,0.501263883,0.498736117,0.800808545,-0.5406289,
15.46666667,5.100569739,0.649512668,5.100569739,0.649512668,1.010413533,1.000209605,0.502537504,0.497462496,0.799838928,-0.540261342,
15.55,5.110442028,0.646800189,5.110442028,0.646800189,1.012369216,0.996032553,0.50406708,0.49593292,0.799451511,-0.533828939,
15.63333333,5.13533076,0.651459095,5.13533076,0.651459095,1.017299628,1.003206984,0.503487404,0.496512596,0.798474805,-0.544877121,
15.71666667,5.090853553,0.650350493,5.090853553,0.650350493,1.008488775,1.001499804,0.50173856,0.49826144,0.800220219,-0.542248169,
15.8,5.08898129,0.652434127,5.08898129,0.652434127,1.008117883,1.004708473,0.500846921,0.499153079,0.800293692,-0.547189322,
15.88333333,5.09177512,0.650126454,5.09177512,0.650126454,1.008671336,1.001154798,0.501869947,0.498130053,0.800184054,-0.541716881,
15.96666667,5.083501832,0.650749559,5.083501832,0.650749559,1.007032412,1.002114341,0.50122392,0.49877608,0.800508722,-0.543194519,
16.05,5.104246779,0.652428313,5.104246779,0.652428313,1.011141948,1.004699519,0.501597951,0.498402049,0.79969463,-0.547175533,
16.15,5.145045486,0.646827943,5.145045486,0.646827943,1.019224098,0.996075293,0.505743267,0.494256733,0.798093571,-0.533894756,
16.21666667,5.119582363,0.649384573,5.119582363,0.649384573,1.0141799,1.000012347,0.503516932,0.496483068,0.799092817,-0.539957576,
16.3,5.150112273,0.64953488,5.150112273,0.64953488,1.020227819,1.00024381,0.504945382,0.495054618,0.797894736,-0.540314016,
16.4,5.062262131,0.649522657,5.062262131,0.649522657,1.002824866,1.000224988,0.50064898,0.49935102,0.801342229,-0.540285031,
16.46666667,5.09861339,0.649365449,5.09861339,0.649365449,1.010025984,0.999982896,0.50249827,0.49750173,0.7999157,-0.539912224,
16.55,5.128046422,0.650722217,5.128046422,0.650722217,1.015856614,1.002072236,0.503415477,0.496584523,0.798760663,-0.543129679,
16.65,5.181748019,0.647013323,5.181748019,0.647013323,1.026494802,0.996360766,0.50744839,0.49255161,0.796653258,-0.534334367,
16.71666667,5.142984464,0.652563995,5.142984464,0.652563995,1.018815813,1.004908461,0.503436079,0.496563921,0.798174451,-0.547497292,
16.8,5.087566252,0.650856066,5.087566252,0.650856066,1.007837566,1.002278356,0.501382808,0.498617192,0.800349222,-0.543447091,
16.9,5.125922558,0.65079614,5.125922558,0.65079614,1.01543588,1.002186074,0.503283521,0.496716479,0.79884401,-0.543304982,
16.96666667,5.097987539,0.648789845,5.097987539,0.648789845,1.009902004,0.999096502,0.502689276,0.497310724,0.799940261,-0.538547232,
